"","tipocomprobantecodigo","comprobantecodigo"
"289","FACB2",9484
"290","FACB2",10170
"291","FACB2",10171
"292","FACB2",10778
"293","FACB2",11423
"294","FACB2",11424
"295","FACB2",12351
"296","FACB2",13200
"297","FACA2",2372
"298","FACA2",2414
"299","FACA2",2669
"300","FACA2",2728
"301","FACA2",2831
"302","FACA2",3009
"303","FACA2",3320
"304","FACA2",3464
"305","FACA2",3535
"306","FACA2",3690
"307","FACA2",3747
"308","FACA2",3832
"309","FACA2",3909
"310","FACA2",3940
"311","FACB2",12572
"312","FACA2",2363
"313","FACA2",2619
"314","FACA2",2745
"315","FACA2",2845
"316","FACA2",3121
"317","FACA2",3407
"318","FACA2",3685
"319","FACA2",3753
"320","FACA2",3997
"321","FACA2",4035
"322","FACA2",4199
"323","FACB2",7177
"324","FACB2",9710
"325","FACB2",10259
"326","FACB2",10305
"327","FACB2",10941
"328","FACB2",11397
"329","FACB2",12525
"330","FACB2",7936
"331","FACB2",6961
"332","FACB2",7268
"333","FACB2",7770
"334","FACB2",7959
"335","FACB2",8274
"336","FACB2",8603
"337","FACB2",10922
"338","FACB2",11329
"339","FACA2",2571
"340","FACA2",2729
"341","FAECA",160
"342","FACB2",7008
"343","FACB2",7106
"344","FACB2",7185
"345","FACB2",7320
"346","FACB2",7550
"347","FACB2",7600
"348","FACB2",7781
"349","FACB2",7969
"350","FACB2",8179
"351","FACB2",8279
"352","FACB2",8548
"353","FACB2",8697
"354","FACB2",8886
"355","FACB2",8981
"356","FACB2",9248
"357","FACB2",9416
"358","FACB2",9622
"359","FACB2",10049
"360","FACB2",10060
"361","FACB2",10243
"362","FACB2",10411
"363","FACB2",10433
"364","FACB2",10669
"365","FACB2",10714
"366","FACB2",10852
"367","FACB2",11109
"368","FACB2",11185
"369","FACB2",11784
"370","FACB2",12007
"371","FACB2",12089
"372","FACB2",12124
"373","FACB2",12419
"374","FACB2",12527
"375","FACB2",12710
"376","FACB2",12997
"377","FACB2",13057
"378","FACB2",7018
"379","FACB2",7341
"380","FACB2",7595
"381","FACB2",7847
"382","FACB2",8367
"383","FACB2",8563
"384","FACB2",9916
"385","FACB2",12456
"386","FACB2",12614
"387","FACB2",7228
"388","FACB2",7678
"389","FACB2",8243
"390","FACB2",10590
"391","FACB2",11197
"392","FACB2",11338
"393","FACA2",2720
"394","FACA2",2368
"395","FACA2",2423
"396","FACA2",2517
"397","FACA2",2576
"398","FACA2",2672
"399","FACA2",2710
"400","FACA2",2985
"401","FACA2",3003
"402","FACA2",3300
"403","FACA2",3468
"404","FACA2",3626
"405","FACA2",3695
"406","FACA2",3887
"407","FACA2",3966
"408","FACA2",4159
"409","FACA2",4185
"410","FACA2",2847
"411","FACA2",2835
"412","FACA2",2853
"413","FACA2",3024
"414","FACA2",3092
"415","FACA2",3152
"416","FACA2",3274
"417","FACA2",3384
"418","FACA2",3392
"419","FACA2",3555
"420","FACA2",3576
"421","FACA2",3748
"422","FACA2",3776
"423","FACA2",3824
"424","FACA2",3928
"425","FACA2",4210
"426","FACB2",7861
"427","FACB2",8202
"428","FACB2",8403
"429","FACB2",8749
"430","FACB2",8824
"431","FACB2",9008
"432","FACB2",9261
"433","FACB2",9431
"434","FACB2",10072
"435","FACB2",10285
"436","FACB2",11043
"437","FACB2",11122
"438","FACB2",11633
"439","FACB2",11722
"440","FACB2",11905
"441","FACB2",12447
"442","FACB2",13141
"443","FACB2",13186
"444","FACA2",2318
"445","FACA2",2465
"446","FACA2",2580
"447","FACA2",2854
"448","FACA2",2979
"449","FACA2",2983
"450","FACA2",3723
"451","FACA2",3737
"452","FACA2",4115
"453","FACB2",6946
"454","FACB2",8714
"455","FACB2",9410
"456","FACB2",11937
"457","FACB2",12271
"458","FACB2",12761
"459","FACB2",8753
"460","FACB2",9166
"461","FACB2",12242
"462","FACA2",2370
"463","FACA2",2466
"464","FACA2",2519
"465","FACA2",2561
"466","FACA2",2603
"467","FACA2",2684
"468","FACA2",3324
"469","FACB2",7635
"470","FACB2",7916
"471","FACB2",6947
"472","FACB2",7069
"473","FACB2",7195
"474","FACB2",7331
"475","FACB2",7497
"476","FACB2",7675
"477","FACB2",7845
"478","FACB2",7992
"479","FACB2",8140
"480","FACB2",8365
"481","FACB2",8481
"482","FACB2",8689
"483","FACB2",8849
"484","FACB2",8951
"485","FACB2",9021
"486","FACB2",9081
"487","FACB2",9234
"488","FACB2",9237
"489","FACB2",9405
"490","FACB2",9523
"491","FACB2",9558
"492","FACB2",9756
"493","FACB2",9816
"494","FACB2",9870
"495","FACB2",10156
"496","FACB2",10224
"497","FACB2",10432
"498","FACB2",10546
"499","FACB2",10631
"500","FACB2",11005
"501","FACB2",11110
"502","FACB2",11129
"503","FACB2",11206
"504","FACB2",11255
"505","FACB2",11305
"506","FACB2",11401
"507","FACB2",11628
"508","FACB2",11691
"509","FACB2",11822
"510","FACB2",11931
"511","FACB2",11994
"512","FACB2",12040
"513","FACB2",12203
"514","FACB2",12499
"515","FACB2",12591
"516","FACB2",12674
"517","FACB2",12936
"518","FACB2",13056
"519","FACB2",13091
"520","FACB2",8415
"521","FACB2",10499
"522","FACB2",11812
"523","FACB2",12664
"524","FACB2",13133
"525","FACB2",7676
"526","FACB2",8571
"527","FACB2",12310
"528","FACB2",7416
"529","FACB2",12529
"530","FACB2",7136
"531","FACB2",8320
"532","FACB2",6890
"533","FACB2",7223
"534","FACB2",7644
"535","FACB2",7777
"536","FACB2",8076
"537","FACB2",8194
"538","FACB2",8577
"539","FACB2",9181
"540","FACB2",11942
"541","FACB2",12398
"542","FACB2",6918
"543","FACB2",7120
"544","FACB2",7241
"545","FACB2",7404
"546","FACB2",7564
"547","FACB2",7718
"548","FACB2",7912
"549","FACB2",8054
"550","FACB2",8253
"551","FACB2",8472
"552","FACB2",8559
"553","FACB2",8682
"554","FACB2",8754
"555","FACB2",8875
"556","FACB2",8980
"557","FACB2",9049
"558","FACB2",9210
"559","FACB2",9286
"560","FACB2",9303
"561","FACB2",9520
"562","FACB2",9757
"563","FACB2",9794
"564","FACB2",9977
"565","FACB2",9978
"566","FACB2",10078
"567","FACB2",10217
"568","FACB2",10501
"569","FACB2",10660
"570","FACB2",10721
"571","FACB2",10832
"572","FACB2",11014
"573","FACB2",11121
"574","FACB2",11151
"575","FACB2",11225
"576","FACB2",11248
"577","FACB2",11337
"578","FACB2",11478
"579","FACB2",11676
"580","FACB2",11689
"581","FACB2",11874
"582","FACB2",11954
"583","FACB2",12070
"584","FACB2",12197
"585","FACB2",12440
"586","FACB2",12737
"587","FACB2",12954
"588","FACB2",12991
"589","FACB2",13037
"590","FACB2",13083
"591","FACA2",2544
"592","FACA2",2351
