"","id","tipo","periodo","monto","mandatarios06","recibos"
"117",161,"Reg-Cov","2022",530,NA,NA
"118",161,"Reg-Cov","A Vencer",237184,NA,275468
"119",161,"Turismo","2021",3080,NA,NA
"120",163,"Detectar","2021",31610,NA,NA
"121",163,"Detectar","2022",41780,NA,NA
"122",163,"Reg-Cov","",122739,NA,NA
"123",163,"Reg-Cov","2021",3309210.26,NA,NA
"124",163,"Reg-Cov","2022",1279971.82,NA,NA
"125",163,"Reg-Cov","A Vencer",204117.4,NA,NA
"126",163,"Turismo","2021",5000,NA,NA
"127",164,"Detectar","2022",83008,36100,NA
"128",164,"Reg-Cov","",486432,NA,NA
"129",164,"Reg-Cov","2019",150197,150197,NA
"130",164,"Reg-Cov","2021",2755159.56,2755159.56,NA
"131",164,"Reg-Cov","2022",3639152.91,1986289.39,NA
"132",164,"Reg-Cov","A Vencer",2680513.55,NA,NA
"133",164,"Turismo","2021",15280,15280,NA
"134",165,"Detectar","2022",13816,NA,44687
"135",165,"Reg-Cov","2022",30871,NA,44687
"136",165,"Reg-Cov","A Vencer",154686,NA,154686
"137",167,"Detectar","",9057098,NA,141875.31
"138",167,"Detectar","A Vencer",3000462,NA,NA
"139",167,"Reg-Cov","",37701532.34,NA,1185645.96
"140",167,"Reg-Cov","2021",1933343.93,NA,1458616.66
"141",167,"Reg-Cov","2022",9305446.71,NA,2799400.15
"142",167,"Reg-Cov","A Vencer",19952024.87,NA,NA
"143",167,"Reg-Cov","Actual",1051236.65,NA,44914719.24
"144",168,"Detectar","",10554,NA,NA
"145",168,"Detectar","2021",44919,NA,NA
"146",168,"Detectar","2022",8988,NA,NA
"147",168,"Detectar","A Vencer",122410,NA,NA
"148",168,"Reg-Cov","",627406.5,NA,NA
"149",168,"Reg-Cov","2021",101647,NA,NA
"150",168,"Reg-Cov","2022",874993.18,NA,NA
"151",168,"Reg-Cov","A Vencer",1653066.37,NA,NA
"152",169,"Reg-Cov","",179285.58,NA,NA
"153",169,"Reg-Cov","A Vencer",47359,NA,NA
"154",171,"Detectar","",44544,NA,NA
"155",171,"Detectar","2022",22326,NA,NA
"156",171,"Reg-Cov","",230332,NA,NA
