"clienteid","SaldoHistorico"
771,0
772,0
774,0
775,0
776,8809
777,0
778,0
779,440358
780,0
782,485062
783,219
784,0
785,0
786,68
787,51597
788,2500
789,0
790,33863
792,784258
793,0
794,0
795,0
796,0
797,0
798,0
799,4222
800,0
801,0
802,0
803,0
805,0
807,0
808,0
811,0
812,0
813,0
815,0
816,215
817,0
818,5144
819,517767
820,0
821,58614
822,0
823,0
824,0
825,530
826,266144
828,905263
829,0
830,237260
831,2226
832,0
833,0
834,212646
835,116626
836,0
837,4580
838,476290
839,8388
840,76
841,0
842,0
843,0
844,0
845,592490
846,198023
847,0
848,410
849,0
850,43430
851,718
852,23538
853,615763
104,12530
105,0
854,86437
855,0
856,105916
857,0
858,0
859,0
860,0
861,0
862,0
864,0
865,0
866,30558
867,0
868,0
869,57455
871,10181
872,0
873,0
675,11299835
874,215800
876,115575
877,276152
884,18929
886,173572
887,12572
888,0
889,5000
890,0
891,0
892,25446
893,0
894,257501
896,0
897,0
898,1565605
899,380
901,0
902,6752804
903,5696
904,96
905,356278
907,142425
908,17373
909,0
910,0
911,1
912,5859470
913,117012
914,0
915,0
916,2780
917,0
919,29589
921,107
922,226703
923,1688781
924,39586
925,0
926,0
927,0
929,341303
930,0
931,0
932,0
934,2104
935,0
936,610
937,0
938,0
939,965
940,1078002
941,0
942,3221
943,6200
944,322
945,1696970
946,3780158
947,1151
948,0
950,0
951,2634745
952,27253
955,924550
956,0
957,0
958,186219
959,18
960,0
961,0
962,0
963,48
964,88
965,78
966,0
967,1696
968,82617
970,1150
971,0
974,5393207
977,0
978,0
979,0
980,540
982,0
983,2400
985,0
986,0
987,0
988,7826
989,768
992,0
993,0
995,0
996,0
997,0
998,1260
999,0
1000,0
1001,0
1002,0
1003,9200925
1004,0
1006,56
1007,0
1009,0
1010,0
1012,0
1014,84813
1015,0
1016,135063
1017,14805
1018,501222
1019,35138254
1020,0
1021,0
527,450
1022,2462858
1023,1056
1024,54572
1025,2500
1026,38373
1027,0
1028,0
1029,1740
1030,0
1031,209355
1032,0
1033,0
1034,15844
1035,344071
1036,84580
1037,0
1038,0
1039,0
1040,0
1041,5945
1042,0
1043,126570
1044,10772
1045,150401
1046,48
1047,0
1048,1652
1049,256
1050,57968
1051,0
1052,0
1053,19940
1054,0
1055,0
1056,0
1057,144
1058,841590
1059,0
1060,65
1061,46875
1062,0
1063,845652
1064,0
1065,14947
1066,44872
1067,0
1068,0
1069,1531073315
1070,930991
1071,70495
1072,32421
1073,888
1074,0
1075,0
1076,46056
1077,0
1078,0
1079,2749
1080,4610
1081,780
1082,1460
1083,8922836
1084,0
1085,0
1086,18060
1087,88
1088,0
1089,56023
1090,0
1091,90739
1092,6580
1093,281142
1094,0
1095,10
1096,208034
1097,0
1098,2620
1099,0
1100,0
1102,4070498
1103,0
1104,0
1105,11048
1106,1248899
1107,898993
1108,14815
1109,0
1110,792296
1111,39546
1112,1416046
1113,68838
1114,16569
1115,2637
1116,0
1117,5547455
1118,0
1119,0
1120,40840
1121,154025
1122,0
1123,911927
1124,0
106,877684
108,346
1125,10909586
1126,599
1127,0
1128,3810498
1129,343267
1130,909468
