"","date","count"
"178",2020-06-26 11:40:00,40
"179",2020-06-27 11:40:00,40
"180",2020-06-28 11:40:00,40
"181",2020-06-29 11:40:00,37
"182",2020-06-30 11:40:00,37
"183",2020-07-01 11:40:00,42
"184",2020-07-02 11:40:00,45
"185",2020-07-03 11:40:00,42
"186",2020-07-04 11:40:00,42
"187",2020-07-05 11:40:00,41
"188",2020-07-06 11:40:00,40
"189",2020-07-07 11:40:00,41
"190",2020-07-08 11:40:00,41
"191",2020-07-09 11:40:00,41
"192",2020-07-10 11:40:00,41
"193",2020-07-11 11:40:00,43
"194",2020-07-12 11:40:00,44
"195",2020-07-13 11:40:00,47
"196",2020-07-14 11:40:00,50
"197",2020-07-15 11:40:00,53
"198",2020-07-16 11:40:00,50
"199",2020-07-17 11:40:00,47
"200",2020-07-18 11:40:00,49
"201",2020-07-19 11:40:00,44
"202",2020-07-20 11:40:00,45
"203",2020-07-21 11:40:00,45
"204",2020-07-22 11:40:00,45
"205",2020-07-23 11:40:00,47
"206",2020-07-24 11:40:00,51
"207",2020-07-25 11:40:00,56
"208",2020-07-26 11:40:00,59
"209",2020-07-27 11:40:00,57
"210",2020-07-28 11:40:00,57
"211",2020-07-29 11:40:00,56
"212",2020-07-30 11:40:00,58
"213",2020-07-31 11:40:00,58
"214",2020-08-01 11:40:00,54
"215",2020-08-02 11:40:00,52
"216",2020-08-03 11:40:00,51
"217",2020-08-04 11:40:00,51
"218",2020-08-05 11:40:00,51
"219",2020-08-06 11:40:00,52
"220",2020-08-07 11:40:00,51
"221",2020-08-08 11:40:00,47
"222",2020-08-09 11:40:00,46
"223",2020-08-10 11:40:00,44
"224",2020-08-11 11:40:00,45
"225",2020-08-12 11:40:00,46
"226",2020-08-13 11:40:00,46
"227",2020-08-14 11:40:00,43
"228",2020-08-15 11:40:00,42
"229",2020-08-16 11:40:00,40
"230",2020-08-17 11:40:00,41
"231",2020-08-18 11:40:00,41
"232",2020-08-19 11:40:00,39
"233",2020-08-20 11:40:00,38
"234",2020-08-21 11:40:00,43
"235",2020-08-22 11:40:00,45
"236",2020-08-23 11:40:00,47
