"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"36",1787,"FACB2 - 10165","516 - OSTPBA",2020-08-31,508260,2020-10-22,2021-01-07 00:00:00,2021-01-20,"RECX2 - 8654",2021-02-22,508260,0
"37",1786,"FACB2 - 10211","150 - OSBA",2020-09-09,73050,2021-02-17,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8642",2021-02-22,56678,0
"38",1796,"FACA2 - 2943","1063 - ACR S.R.L.",2020-07-14,1949823,2020-08-13,2021-01-21 00:00:00,2021-01-27,"RECX2 - 8645",2021-02-22,1949823,0
"39",1817,"FACB2 - 7560","175 - OSCI",2020-03-13,20191,2020-10-08,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,20191,0
"40",1817,"FACB2 - 7807","175 - OSCI",2020-04-09,77807,2020-10-08,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,77807,0
"41",1817,"FACB2 - 7957","175 - OSCI",2020-04-24,108670.45,2020-10-08,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,108670.45,0
"42",1817,"FACB2 - 8116","175 - OSCI",2020-05-14,210131.39,2020-10-08,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,210131.39,0
"43",1817,"FACB2 - 8234","175 - OSCI",2020-05-21,900,2020-10-08,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,900,0
"44",1817,"FACB2 - 8969","175 - OSCI",2020-07-13,25740,2020-10-08,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,25740,0
"45",1817,"FACB2 - 9245","175 - OSCI",2020-07-22,112244,2020-10-01,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8659",2021-02-22,112244,0
"46",1856,"FACB2 - 10568","475 - OSIPA",2020-09-23,23276,2020-10-31,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8667",2021-02-22,23276,0
"47",1856,"FACB2 - 9513","475 - OSIPA",2020-08-06,15486,2020-10-10,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8667",2021-02-22,15486,0
